,state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,fips
96,Alaska,2930,District 30,7180,2638,10226,4542,0.7021318208488168,0.2579698806962644,0.4441619401525523,02930
97,Alaska,2931,District 31,6971,5037,12481,1934,0.5585289640253185,0.4035734316160564,0.154955532409262,02931
98,Alaska,2932,District 32,4440,3506,8361,934,0.5310369573017582,0.419327831599091,0.1117091257026671,02932
99,Alaska,2933,District 33,3059,7535,11016,-4476,0.2776870007262164,0.6840050835148874,-0.406318082788671,02933
100,Alaska,2934,District 34,4543,5763,10794,-1220,0.420881971465629,0.5339077265147304,-0.1130257550491013,02934
101,Alaska,2935,District 35,4769,5011,10149,-242,0.4698985121686865,0.4937432259335895,-0.0238447137649029,02935
102,Alaska,2936,District 36,5114,3796,9292,1318,0.550365906155833,0.4085234610417563,0.1418424451140766,02936
103,Alaska,2937,District 37,2358,2560,5168,-202,0.4562693498452012,0.4953560371517028,-0.0390866873065015,02937
104,Alaska,2938,District 38,1737,3202,5299,-1465,0.3277976976788073,0.6042649556520098,-0.2764672579732024,02938
105,Alaska,2939,District 39,1939,3580,5930,-1641,0.3269814502529511,0.6037099494097807,-0.2767284991568296,02939
106,Alaska,2940,District 40,1994,2318,4628,-324,0.4308556611927398,0.5008643042350908,-0.0700086430423509,02940
107,Arizona,4001,Apache County,11442,23293,35183,-11851,0.3252138817042321,0.662052695904272,-0.3368388142000398,04001
108,Arizona,4003,Cochise County,35557,23732,60473,11825,0.5879814131926645,0.3924396011443123,0.1955418120483522,04003
109,Arizona,4005,Coconino County,27052,44698,73346,-17646,0.3688272025741008,0.6094129195866168,-0.2405857170125159,04005
110,Arizona,4007,Gila County,18377,8943,27678,9434,0.6639569333044295,0.3231086061131584,0.340848327191271,04007
111,Arizona,4009,Graham County,10749,4034,14996,6715,0.716791144305148,0.2690050680181381,0.4477860762870098,04009
112,Arizona,4011,Greenlee County,2433,1182,3688,1251,0.65970715835141,0.3204989154013015,0.3392082429501085,04011
113,Arizona,4012,La Paz County,5129,2236,7460,2893,0.6875335120643432,0.2997319034852547,0.3878016085790885,04012
114,Arizona,4013,Maricopa County,995665,1040774,2069475,-45109,0.4811196076299545,0.5029169233742857,-0.0217973157443312,04013
115,Arizona,4015,Mohave County,78535,24831,104705,53704,0.7500596915142543,0.2371519984718972,0.5129076930423571,04015
116,Arizona,4017,Navajo County,27657,23383,51783,4274,0.5340942007994902,0.4515574609427804,0.0825367398567097,04017
117,Arizona,4019,Pima County,207758,304981,520735,-97223,0.3989706856654536,0.5856740952691868,-0.1867034096037331,04019
118,Arizona,4021,Pinal County,107077,75106,185037,31971,0.57867885882283,0.4058971989385906,0.1727816598842393,04021
119,Arizona,4023,Santa Cruz County,6194,13138,19561,-6944,0.3166504779919227,0.6716425540616533,-0.3549920760697306,04023
120,Arizona,4025,Yavapai County,91527,49602,143280,41925,0.6387981574539363,0.3461892797319933,0.292608877721943,04025
121,Arizona,4027,Yuma County,36534,32210,69926,4324,0.5224666075565598,0.4606298086548637,0.0618367989016961,04027
122,Arkansas,5001,Arkansas County,4304,1818,6292,2486,0.684043229497775,0.2889383343928798,0.3951048951048951,05001
123,Arkansas,5003,Ashley County,5548,2125,7926,3423,0.6999747665909665,0.2681049709815796,0.4318697956093869,05003
124,Arkansas,5005,Baxter County,15836,4635,21007,11201,0.7538439567763127,0.2206407388013519,0.5332032179749607,05005
125,Arkansas,5007,Benton County,73965,42249,119912,31716,0.6168273400493696,0.3523333778103943,0.2644939622389752,05007
126,Arkansas,5009,Boone County,13652,3064,17114,10588,0.7977094776206615,0.1790347084258501,0.6186747691948113,05009
127,Arkansas,5011,Bradley County,2335,1214,3654,1121,0.6390257252326218,0.3322386425834702,0.3067870826491516,05011
128,Arkansas,5013,Calhoun County,1636,479,2182,1157,0.7497708524289642,0.2195233730522456,0.5302474793767186,05013
129,Arkansas,5015,Carroll County,7424,4023,11797,3401,0.6293125370856998,0.3410189031109604,0.2882936339747394,05015
130,Arkansas,5017,Chicot County,1752,2260,4103,-508,0.4270046307579819,0.5508164757494516,-0.1238118449914696,05017
131,Arkansas,5019,Clark County,4616,3438,8395,1178,0.5498511018463371,0.4095294818344253,0.1403216200119118,05019
132,Arkansas,5021,Clay County,4086,962,5183,3124,0.78834651746093,0.1856067914335327,0.6027397260273972,05021
133,Arkansas,5023,Cleburne County,10328,1988,12680,8340,0.8145110410094637,0.156782334384858,0.6577287066246056,05023
134,Arkansas,5025,Cleveland County,2867,651,3600,2216,0.7963888888888889,0.1808333333333333,0.6155555555555556,05025
135,Arkansas,5027,Columbia County,5500,2814,8616,2686,0.638347260909935,0.3266016713091922,0.3117455896007428,05027
136,Arkansas,5029,Conway County,5694,2615,8685,3079,0.6556131260794473,0.3010938399539435,0.3545192861255037,05029
137,Arkansas,5031,Craighead County,25558,11921,38511,13637,0.6636545402612241,0.3095479213731141,0.3541066188881099,05031
138,Arkansas,5033,Crawford County,18607,4959,24091,13648,0.7723631231580258,0.2058445062471462,0.5665186169108796,05033
139,Arkansas,5035,Crittenden County,7333,8514,16367,-1181,0.4480356815543471,0.5201930714242072,-0.07215738986986,05035
140,Arkansas,5037,Cross County,4946,1772,6942,3174,0.7124747911264765,0.2552578507634687,0.4572169403630077,05037
141,Arkansas,5039,Dallas County,1573,963,2649,610,0.5938089845224613,0.3635334088335221,0.2302755756889392,05039
142,Arkansas,5041,Desha County,1921,2016,4164,-95,0.4613352545629203,0.484149855907781,-0.0228146013448606,05041
143,Arkansas,5043,Drew County,4349,2426,6908,1923,0.6295599305153445,0.3511870295309786,0.2783729009843659,05043
144,Arkansas,5045,Faulkner County,34421,18347,54428,16074,0.6324134636584111,0.3370875284779893,0.2953259351804218,05045
145,Arkansas,5047,Franklin County,5677,1300,7129,4377,0.7963248702482817,0.1823537663066348,0.6139711039416468,05047
146,Arkansas,5049,Fulton County,3961,1035,5119,2926,0.7737839421762063,0.2021879273295565,0.5715960148466497,05049
147,Arkansas,5051,Garland County,29069,14045,44199,15024,0.6576845629991629,0.3177673703024955,0.3399171926966673,05051
148,Arkansas,5053,Grant County,6794,1268,8200,5526,0.8285365853658536,0.1546341463414634,0.6739024390243902,05053
149,Arkansas,5055,Greene County,12670,3058,16100,9612,0.7869565217391304,0.1899378881987577,0.5970186335403727,05055
150,Arkansas,5057,Hempstead County,4470,2138,6848,2332,0.6527453271028038,0.3122079439252336,0.3405373831775701,05057
151,Arkansas,5059,Hot Spring County,9202,3082,12557,6120,0.7328183483316079,0.2454407899976109,0.487377558333997,05059
152,Arkansas,5061,Howard County,3367,1340,4834,2027,0.6965246172941664,0.2772031443938767,0.4193214729002896,05061
153,Arkansas,5063,Independence County,11250,2806,14512,8444,0.7752205071664829,0.1933572216097023,0.5818632855567807,05063
154,Arkansas,5065,Izard County,4631,1021,5810,3610,0.7970740103270224,0.1757314974182444,0.621342512908778,05065
155,Arkansas,5067,Jackson County,3593,1365,5091,2228,0.7057552543704577,0.2681202121390689,0.4376350422313887,05067
156,Arkansas,5069,Jefferson County,9521,14981,25158,-5460,0.3784482073296764,0.5954765879640671,-0.2170283806343906,05069
157,Arkansas,5071,Johnson County,6938,2283,9498,4655,0.7304695725415877,0.2403663929248262,0.4901031796167614,05071
158,Arkansas,5073,Lafayette County,1757,839,2679,918,0.6558417319895483,0.3131765584173199,0.3426651735722284,05073
159,Arkansas,5075,Lawrence County,4569,1080,5857,3489,0.7800921973706676,0.1843947413351545,0.595697456035513,05075
160,Arkansas,5077,Lee County,1286,1423,2848,-137,0.4515449438202247,0.4996488764044944,-0.0481039325842697,05077
161,Arkansas,5079,Lincoln County,2729,1032,3875,1697,0.704258064516129,0.2663225806451613,0.4379354838709677,05079
162,Arkansas,5081,Little River County,3715,1226,5177,2489,0.7175970639366428,0.2368166892022407,0.4807803747344021,05081
163,Arkansas,5083,Logan County,6441,1544,8225,4897,0.7831003039513678,0.1877203647416413,0.5953799392097264,05083
164,Arkansas,5085,Lonoke County,22884,6686,30662,16198,0.7463309634074751,0.2180549214010827,0.5282760420063923,05085
165,Arkansas,5087,Madison County,5658,1563,7351,4095,0.7696911984763978,0.2126241327710515,0.5570670657053463,05087
